Date,Open,High,Low,Close,Adj Close,Volume
2011-09-21,17128.830078,17191.119141,17000.609375,17065.150391,17065.150391,13400
2011-09-22,16827.849609,16833.609375,16316.030273,16361.150391,16361.150391,18400
2011-09-23,16222.370117,16368.410156,16052.469727,16162.059570,16162.059570,22000
2011-09-26,16209.190430,16209.190430,15801.009766,16051.099609,16051.099609,18800
2011-09-27,16289.320313,16551.650391,16282.740234,16524.029297,16524.029297,16200
2011-09-28,16663.259766,16663.259766,16363.629883,16446.019531,16446.019531,19600
2011-09-29,16387.910156,16756.080078,16316.660156,16698.070313,16698.070313,19200
2011-09-30,16599.740234,16745.160156,16404.779297,16453.759766,16453.759766,20000
2011-10-03,16255.969727,16255.969727,16056.330078,16151.450195,16151.450195,17000
2011-10-04,16081.769531,16202.379883,15745.429688,15864.860352,15864.860352,19600
2011-10-05,15967.719727,16044.910156,15760.530273,15792.410156,15792.410156,18800
2011-10-07,16222.490234,16347.480469,16148.969727,16232.540039,16232.540039,16800
2011-10-10,16270.070313,16595.929688,16230.769531,16557.230469,16557.230469,17200
2011-10-11,16668.150391,16774.119141,16510.710938,16536.470703,16536.470703,20000
2011-10-12,16660.429688,16987.060547,16608.570313,16958.390625,16958.390625,21200
2011-10-13,17048.000000,17084.070313,16854.029297,16883.919922,16883.919922,18000
2011-10-14,16836.830078,17112.449219,16828.449219,17082.689453,17082.689453,15400
2011-10-17,17176.050781,17188.550781,16928.380859,17025.089844,17025.089844,18400
2011-10-18,16817.380859,16824.759766,16669.039063,16748.289063,16748.289063,14000
2011-10-19,16883.359375,17106.990234,16874.339844,17085.339844,17085.339844,11400
2011-10-20,16911.849609,16962.060547,16744.990234,16936.890625,16936.890625,12000
2011-10-21,16975.789063,17032.320313,16752.210938,16785.640625,16785.640625,13800
2011-10-24,17011.060547,17104.880859,16898.599609,16939.279297,16939.279297,12600
2011-10-25,17012.789063,17322.130859,16900.259766,17254.859375,17254.859375,17600
2011-10-28,17671.859375,17908.130859,17671.859375,17804.800781,17804.800781,23800
2011-10-31,17806.210938,17813.109375,17668.269531,17705.009766,17705.009766,15800
2011-11-01,17540.550781,17661.779297,17422.470703,17480.830078,17480.830078,17600
2011-11-02,17347.699219,17615.919922,17337.650391,17464.849609,17464.849609,15400
2011-11-03,17430.689453,17527.099609,17278.029297,17481.929688,17481.929688,17000
2011-11-04,17674.699219,17702.259766,17474.390625,17562.609375,17562.609375,18400
2011-11-08,17593.669922,17632.230469,17455.220703,17569.529297,17569.529297,11000
2011-11-09,17641.980469,17658.339844,17331.230469,17362.099609,17362.099609,15000
2011-11-11,17187.890625,17279.230469,17096.839844,17192.820313,17192.820313,18200
2011-11-14,17348.519531,17391.990234,17094.429688,17118.740234,17118.740234,15000
2011-11-15,17081.619141,17172.089844,16837.560547,16882.669922,16882.669922,18000
2011-11-16,16872.300781,16878.300781,16641.650391,16775.869141,16775.869141,19600
2011-11-17,16754.679688,16807.150391,16408.500000,16461.710938,16461.710938,17000
2011-11-18,16387.699219,16396.689453,16164.990234,16371.509766,16371.509766,21600
2011-11-21,16297.030273,16297.030273,15900.299805,15946.099609,15946.099609,21400
2011-11-22,15995.690430,16212.950195,15970.110352,16065.419922,16065.419922,19400
2011-11-23,15969.599609,15969.599609,15478.690430,15699.969727,15699.969727,17400
2011-11-24,15715.809570,15901.299805,15479.969727,15858.490234,15858.490234,18600
2011-11-25,15781.250000,15891.049805,15645.780273,15695.429688,15695.429688,19200
2011-11-28,15890.799805,16186.679688,15888.280273,16167.129883,16167.129883,20200
2011-11-29,16210.370117,16210.370117,15952.540039,16008.339844,16008.339844,14800
2011-11-30,15868.959961,16179.559570,15849.570313,16123.459961,16123.459961,16800
2011-12-01,16555.929688,16718.109375,16430.609375,16483.449219,16483.449219,19800
2011-12-02,16493.980469,16888.839844,16428.660156,16846.830078,16846.830078,28600
2011-12-05,16812.300781,16863.099609,16691.210938,16805.330078,16805.330078,13400
2011-12-07,16830.039063,17003.710938,16781.619141,16877.060547,16877.060547,14000
2011-12-08,16819.740234,16847.820313,16421.550781,16488.240234,16488.240234,16000
2011-12-09,16258.440430,16382.570313,16142.320313,16213.459961,16213.459961,18400
2011-12-12,16354.959961,16360.320313,15839.959961,15870.349609,15870.349609,21200
2011-12-13,15778.620117,16079.379883,15771.589844,16002.509766,16002.509766,23600
2011-12-14,15963.750000,16133.410156,15855.120117,15881.139648,15881.139648,19000
2011-12-15,15739.049805,15908.019531,15596.219727,15836.469727,15836.469727,19800
2011-12-16,15868.780273,16068.900391,15425.200195,15491.349609,15491.349609,20400
2011-12-19,15440.099609,15440.099609,15190.740234,15379.339844,15379.339844,18000
2011-12-20,15436.120117,15448.129883,15135.860352,15175.080078,15175.080078,20800
2011-12-21,15487.750000,15727.309570,15377.040039,15685.209961,15685.209961,22000
2011-12-22,15546.660156,15834.629883,15472.700195,15813.360352,15813.360352,18800
2011-12-23,15863.429688,15911.230469,15671.280273,15738.700195,15738.700195,17000
2011-12-26,15782.169922,15998.440430,15761.179688,15970.750000,15970.750000,11800
2011-12-27,15983.980469,16049.120117,15799.629883,15873.950195,15873.950195,10800
2011-12-28,15854.360352,15887.799805,15666.459961,15727.849609,15727.849609,11800
2011-12-29,15658.940430,15724.599609,15515.440430,15543.929688,15543.929688,12800
2011-12-30,15583.549805,15694.049805,15406.929688,15454.919922,15454.919922,12800
2012-01-02,15534.669922,15542.849609,15358.019531,15517.919922,15517.919922,14200
2012-01-03,15640.559570,15970.309570,15640.559570,15939.360352,15939.360352,16200
